 NUMBER,POSITION,A,B
 351, Weapons Officer (Lieutenant), Fighter 18 Flight 3, 1st Fighter Squadron 154 HFG
 352, Starboard Wingone (Lieutenant), Fighter 19 Flight 3, 1st Fighter Squadron 154 HFG
 353, Weapons Officer (Lieutenant), Fighter 19 Flight 3, 1st Fighter Squadron 154 HFG
 354, Lone Wolf (Lieutenant), Fighter 20 Flight 3, 1st Fighter Squadron 154 HFG
 355, Weapons Officer (Lieutenant), Fighter 20 Flight 3, 1st Fighter Squadron 154 HFG
,,,
 356, Fighter Flight Commander (Lt Commander), Fighter 1 Flight 4, 1st Fighter Squadron 154 HFG
 357, Weapons Officer (Lieutenant), Fighter 1 Flight 4, 1st Fighter Squadron 154 HFG
 358, First Element Leader (Lieutenant), Fighter 2 Flight 4, 1st Fighter Squadron 154 HFG
 359, Weapons Officer (Lieutenant), Fighter 2 Flight 4, 1st Fighter Squadron 154 HFG
 360, Port Wingone (Lieutenant), Fighter 3 Flight 4, 1st Fighter Squadron 154 HFG
 361, Weapons Officer (Lieutenant), Fighter 3 Flight 4, 1st Fighter Squadron 154 HFG
 362, Starboard Wingone (Lieutenant), Fighter 4 Flight 4, 1st Fighter Squadron 154 HFG
 363, Weapons Officer (Lieutenant), Fighter 4 Flight 4, 1st Fighter Squadron 154 HFG
 364, Second Element Leader (Lieutenant), Fighter 5 Flight 4, 1st Fighter Squadron 154 HFG
 365, Weapons Officer (Lieutenant), Fighter 5 Flight 4, 1st Fighter Squadron 154 HFG
 366, Port Wingone (Lieutenant), Fighter 6 Flight 4, 1st Fighter Squadron 154 HFG
 367, Weapons Officer (Lieutenant), Fighter 6 Flight 4, 1st Fighter Squadron 154 HFG
 368, Starboard Wingone (Lieutenant), Fighter 7 Flight 4, 1st Fighter Squadron 154 HFG
 369, Weapons Officer (Lieutenant), Fighter 7 Flight 4, 1st Fighter Squadron 154 HFG
 370, Third Element Leader (Lieutenant), Fighter 8 Flight 4, 1st Fighter Squadron 154 HFG
 371, Weapons Officer (Lieutenant), Fighter 8 Flight 4, 1st Fighter Squadron 154 HFG
 372, Port Wingone (Lieutenant), Fighter 9 Flight 4, 1st Fighter Squadron 154 HFG
 373, Weapons Officer (Lieutenant), Fighter 9 Flight 4, 1st Fighter Squadron 154 HFG
 374, Starboard Wingone (Lieutenant), Fighter 10 Flight 4, 1st Fighter Squadron 154 HFG
 375, Weapons Officer (Lieutenant), Fighter 10 Flight 4, 1st Fighter Squadron 154 HFG
 376, Fourth Element Leader (Lieutenant), Fighter 11 Flight 4, 1st Fighter Squadron 154 HFG
 377, Weapons Officer (Lieutenant), Fighter 11 Flight 4, 1st Fighter Squadron 154 HFG
 378, Port Wingone (Lieutenant), Fighter 12 Flight 4, 1st Fighter Squadron 154 HFG
 379, Weapons Officer (Lieutenant), Fighter 12 Flight 4, 1st Fighter Squadron 154 HFG
 380, Starboard Wingone (Lieutenant), Fighter 13 Flight 4, 1st Fighter Squadron 154 HFG
 381, Weapons Officer (Lieutenant), Fighter 13 Flight 4, 1st Fighter Squadron 154 HFG
 382, Fifth Element Leader (Lieutenant), Fighter 14 Flight 4, 1st Fighter Squadron 154 HFG
 383, Weapons Officer (Lieutenant), Fighter 14 Flight 4, 1st Fighter Squadron 154 HFG
 384, Port Wingone (Lieutenant), Fighter 15 Flight 4, 1st Fighter Squadron 154 HFG
 385, Weapons Officer (Lieutenant), Fighter 15 Flight 4, 1st Fighter Squadron 154 HFG
 386, Starboard Wingone (Lieutenant), Fighter 16 Flight 4, 1st Fighter Squadron 154 HFG
 387, Weapons Officer (Lieutenant), Fighter 16 Flight 4, 1st Fighter Squadron 154 HFG
 388, Sixth Element Leader (Lieutenant), Fighter 17 Flight 4, 1st Fighter Squadron 154 HFG
 389, Weapons Officer (Lieutenant), Fighter 17 Flight 4, 1st Fighter Squadron 154 HFG
 390, Port Wingone (Lieutenant), Fighter 18 Flight 4, 1st Fighter Squadron 154 HFG
 391, Weapons Officer (Lieutenant), Fighter 18 Flight 4, 1st Fighter Squadron 154 HFG
 392, Starboard Wingone (Lieutenant), Fighter 19 Flight 4, 1st Fighter Squadron 154 HFG
 393, Weapons Officer (Lieutenant), Fighter 19 Flight 4, 1st Fighter Squadron 154 HFG
 394, Lone Wolf (Lieutenant), Fighter 20 Flight 4, 1st Fighter Squadron 154 HFG
 395, Weapons Officer (Lieutenant), Fighter 20 Flight 4, 1st Fighter Squadron 154 HFG
,,,
 396, Fighter Flight Commander (Lt Commander), Fighter 1 Flight 5, 1st FighterSquadron 154 HFG
 397, Weapons Officer (Lieutenant), Fighter 1 Flight 5, 1st Fighter Squadron 154 HFG
 398, First Element Leader (Lieutenant), Fighter 2 Flight 5, 1st Fighter Squadron 154 HFG
 399, Weapons Officer (Lieutenant), Fighter 2 Flight 5, 1st Fighter Squadron 154 HFG
 400, Port Wingone (Lieutenant), Fighter 3 Flight 5, 1st Fighter Squadron 154 HFG
 401, Weapons Officer (Lieutenant), Fighter 3 Flight 5, 1st Fighter Squadron 154 HFG
 402, Starboard Wingone (Lieutenant), Fighter 4 Flight 5, 1st Fighter Squadron 154 HFG
 403, Weapons Officer (Lieutenant), Fighter 4 Flight 5, 1st Fighter Squadron 154 HFG
 404, Second Element Leader (Lieutenant), Fighter 5 Flight 5, 1st Fighter Squadron 154 HFG
 405, Weapons Officer (Lieutenant), Fighter 5 Flight 5, 1st Fighter Squadron 154 HFG
 406, Port Wingone (Lieutenant), Fighter 6 Flight 5, 1st Fighter Squadron 154 HFG
 407, Weapons Officer (Lieutenant), Fighter 6 Flight 5, 1st Fighter Squadron 154 HFG
 408, Starboard Wingone (Lieutenant), Fighter 7 Flight 5, 1st Fighter Squadron 154 HFG
 409, Weapons Officer (Lieutenant), Fighter 7 Flight 5, 1st Fighter Squadron 154 HFG
 410, Third Element Leader (Lieutenant), Fighter 8 Flight 5, 1st Fighter Squadron 154 HFG
 411, Weapons Officer (Lieutenant), Fighter 8 Flight 5, 1st Fighter Squadron 154 HFG
 412, Port Wingone (Lieutenant), Fighter 9 Flight 5, 1st Fighter Squadron 154 HFG
 413, Weapons Officer (Lieutenant), Fighter 9 Flight 5, 1st Fighter Squadron 154 HFG
 414, Starboard Wingone (Lieutenant), Fighter 10 Flight 5, 1st Fighter Squadron 154 HFG
 415, Weapons Officer (Lieutenant), Fighter 10 Flight 5, 1st Fighter Squadron 154 HFG
 416, Fourth Element Leader (Lieutenant), Fighter 11 Flight 5, 1st Fighter Squadron 154 HFG
 417, Weapons Officer (Lieutenant), Fighter 11 Flight 5, 1st Fighter Squadron 154 HFG
 418, Port Wingone (Lieutenant), Fighter 12 Flight 5, 1st Fighter Squadron 154 HFG
 419, Weapons Officer (Lieutenant), Fighter 12 Flight 5, 1st Fighter Squadron 154 HFG
 420, Starboard Wingone (Lieutenant), Fighter 13 Flight 5, 1st Fighter Squadron 154 HFG
 421, Weapons Officer (Lieutenant), Fighter 13 Flight 5, 1st Fighter Squadron 154 HFG
 422, Fifth Element Leader (Lieutenant), Fighter 14 Flight 5, 1st Fighter Squadron 154 HFG
 423, Weapons Officer (Lieutenant), Fighter 14 Flight 5, 1st Fighter Squadron 154 HFG
 424, Port Wingone (Lieutenant), Fighter 15 Flight 5, 1st Fighter Squadron 154 HFG
 425, Weapons Officer (Lieutenant), Fighter 15 Flight 5, 1st Fighter Squadron 154 HFG
 426, Starboard Wingone (Lieutenant), Fighter 16 Flight 5, 1st Fighter Squadron 154 HFG
 427, Weapons Officer (Lieutenant), Fighter 16 Flight 5, 1st Fighter Squadron 154 HFG
 428, Sixth Element Leader (Lieutenant), Fighter 17 Flight 5, 1st Fighter Squadron 154 HFG
 429, Weapons Officer (Lieutenant), Fighter 17 Flight 5, 1st Fighter Squadron 154 HFG
 430, Port Wingone (Lieutenant), Fighter 18 Flight 5, 1st Fighter Squadron 154 HFG
 431, Weapons Officer (Lieutenant), Fighter 18 Flight 5, 1st Fighter Squadron 154 HFG
 432, Starboard Wingone (Lieutenant), Fighter 19 Flight 5, 1st Fighter Squadron 154 HFG
 433, Weapons Officer (Lieutenant), Fighter 19 Flight 5, 1st Fighter Squadron 154 HFG
 434, Lone Wolf (Lieutenant), Fighter 20 Flight 5, 1st Fighter Squadron 154 HFG
 435, Weapons Officer (Lieutenant), Fighter 20 Flight 5, 1st Fighter Squadron 154 HFG
 */,,,
