"Name","Location","SDAHPGLT","Base","Remarks","Zone","Gas","Sector","SubSector","SubSectorN","CargoBase","Trade","Star1","Star2","Star3","HW-SDAHPLT","Algn","PAG","ZonedFor","Detailed","Hard1","Hard2","Hard3","Hard4"
"Ghatsokfe","902","BA8669D8","","","","G","DENEB","B","LAMAS","5800","Ag Ni Ri","M7 VI","","","BLDWHEA","Va","304","","","","","",""
"Matsa","903","A234453F","","","","G","DENEB","B","LAMAS","5500","Ni","F3 IV","M5 VI","","ASTWMMH","Cs","102","","","","","",""
"Askofouta","905","D55677A4","","","","G","DENEB","B","LAMAS","5400","Ag","M6 V","","","DMSWHER","Va","612","","","","","",""
"Waakuli","906","B525586B","N","","","G","DENEB","B","LAMAS","6100","Ni","F8 V","","","BMTWMMH","Dd","824","","","","","",""
"Malkei","907","B6598668","","","","","DENEB","B","LAMAS","4800","","M1 III","","","BMSWHMA","Dd","610","","","","","",""
"Gyrfal","910","C8B65457","","","","G","DENEB","B","LAMAS","7700","Fl Ni","M8 V","","","CLEWMMA","Dd","103","","","","","",""
"Kfathvaedal","1001","B000661C","","","","G","DENEB","B","LAMAS","6200","As Na Ni Va","G5 VI","","","BAVDHLH","Va","224","","","","","",""
"Sisi","1004","B8D06108","","","","G","DENEB","B","LAMAS","6800","De Ni","M4 V","","","BLEDHNA","Va","624","","","","","",""
"Kamisaraki","1006","C354467A","S","","","G","DENEB","B","LAMAS","7000","Ni","G1 V","M3 D","","CSSWMMH","Dd","703","","","","","",""
"Lengighdzeurz","1202","A300520B","","","","G","DENEB","B","LAMAS","6100","Ni Va","G6 V","","","ASVDMNH","Va","923","","","","","",""
"Nalmar Station","1203","B000347A","N","","","G","DENEB","B","LAMAS","7000","As Lo Ni Va","M5 V","F6 D","","BAVDMMH","Cs","912","","","","","",""
"Haniiwa","1208","XA9A6434","","","R","","DENEB","B","LAMAS","10400","Ni Wa","F4 II","","","XLEAHMR","Dd","210","","","","","",""
"Latros","1301","B688227B","","","","G","DENEB","B","LAMAS","7100","Lo Ni","K3 V","M0 D","","BMDWMMH","Na","501","","","","","",""
"Kantra","1302","C3016989","","","","G","DENEB","B","LAMAS","7900","Ic Na Ni Va","M7 V","","","CSVDHHH","Na","622","","","","","",""
"Qi'iri","1303","E4543237","C","","","","DENEB","B","LAMAS","9700","Lo Ni","M0 V","","","ESSWMMA","Va","410","","","","","",""
"Lome","1306","E32487B9","","","","G","DENEB","B","LAMAS","7900","","M0 V","M7 D","M7 D","ESTWHEH","Dd","101","","","","","",""
"Lamas","1309","B7AA585C","N","Cp","","G","DENEB","B","LAMAS","7200","Fl Ni Wa","M5 V","","","BMEAMMH","Dd","701","","","","","",""
"Ql'lre","1403","A657377A","","","","G","DENEB","B","LAMAS","6000","Lo Ni","M8 V","","","AMSWMMH","Na","402","","","","","",""
"Anatre","1405","D5788A76","","","","G","DENEB","B","LAMAS","6600","","M3 V","","","DMDWHME","Dd","401","","","","","",""
"Borlund","1406","E454AAA9","","","","G","DENEB","B","LAMAS","6900","Hi","M8 VI","M9 VI","","ESSWHEH","Dd","701","","","","","",""
"Krisna","1409","C84A651A","","","","G","DENEB","B","LAMAS","7000","Ni Wa","M8 V","","","CLSAHLH","Dd","812","","","","","",""
"Mur","1502","C100733A","","","","","DENEB","B","LAMAS","7000","Na Va","F1 V","M8 D","","CSVDHMH","V6","120","","","","","",""
"Giia","1504","E6636746","","","","G","DENEB","B","LAMAS","9600","Ni Ri","K5 V","K5 D","","EMSRHME","Na","201","","","","","",""
"Lagut","1505","C312555B","","","","G","DENEB","B","LAMAS","7100","Ic Ni","F9 V","","","CSVRMMH","Dd","932","","","","","",""
"Pek'e","1508","C4413257","S","","","G","DENEB","B","LAMAS","6700","Lo Ni Po","F3 V","","","CSSDMMA","Dd","412","","","","","",""
"Prolam","1509","B769436A","N","","","G","DENEB","B","LAMAS","6000","Ni","A7 V","","","BMSWMMH","Dd","223","","","","","",""
"Graek","1704","D7879C74","","","A","G","DENEB","C","ANTRA","5400","Hi","M4 D","","","DMDWHMR","Cs","101","","","","","",""
"Dunant","1706","B311320E","S","","A","G","DENEB","C","ANTRA","7400","Ic Lo Ni","G2 V","M4 V","","BSVDMNH","Dd","523","","","","","",""
"Remsen","1708","B7886769","S","C7","","G","DENEB","C","ANTRA","5900","Ag Ni Ri","F9 V","M7 D","","BMDWHMH","Dd","524","","","","","",""
"Uakari","1710","C5348AA6","","","","G","DENEB","C","ANTRA","5600","","K6 VI","","","CMTWHEE","Dd","912","","","","","",""
"Dzoungdzi","1802","A457353E","","","","G","DENEB","C","ANTRA","6400","Lo Ni","K7 V","","","ASSWMMH","V6","624","","","","","",""
"Cilnodan","1805","B3422219","","","","G","DENEB","C","ANTRA","5900","Lo Ni Po","M9 V","F8 D","","BSSRMLH","Dd","632","","","","","",""
"Antra","1808","A53789CE","","Cp","","G","DENEB","C","ANTRA","4400","","M0 D","K5 D","","AMTWHEH","Dd","501","","","","","",""
"Syr Darya","1810","E55769C5","","","","G","DENEB","C","ANTRA","7500","Ag Ni","M4 V","G3 V","","EMSWHEE","Dd","922","","","","","",""
"Noscius","1902","C2222017","","","A","G","DENEB","C","ANTRA","6700","Lo Ni Po","G3 V","M8 V","","CSTRMLA","V6","511","","","","","",""
"Fursuelgigz","1903","B2007878","","","","G","DENEB","C","ANTRA","5800","Na Va","M1 V","","","BSVDHMA","V6","901","","","","","",""
"Marnig","1904","E2411015","","","","G","DENEB","C","ANTRA","8500","Lo Ni Po","K7 III","M8 V","","ESSDLLE","V6","301","","","","","",""
"Ostov","1905","C7685326","","","","G","DENEB","C","ANTRA","5600","Ag Ni","F7 V","G7 D","","CMSWMME","Dd","422","","","","","",""
"Uramid","1910","B345568A","A","","","G","DENEB","C","ANTRA","5000","Ag Ni","M2 V","","","BSSWMHH","Dd","621","","","","","",""
"Filangger","2001","A76A654C","","","","G","DENEB","C","ANTRA","6200","Ni Ri Wa","A0 VI","G6 VI","","AMSAHMH","V8","823","","","","","",""
"Torrens","2105","C100238D","","","","G","DENEB","C","ANTRA","9300","Lo Ni Va","M4 D","","","CSVDMHH","Dd","104","","","","","",""
"Bangwe","2109","D78A302A","","","","G","DENEB","C","ANTRA","9000","Lo Ni Wa","M5 V","","","DMDAMMH","Dd","112","","","","","",""
"Gounuerz","2202","B235330A","C","","","","DENEB","C","ANTRA","7000","Lo Ni","G9 V","","","BSTWMNH","Va","510","","","","","",""
"Dolfi","2204","E59368B5","C","","","","DENEB","C","ANTRA","8500","Ni","M1 V","F3 V","","EMERHEE","Va","710","","","","","",""
"Mazirbe","2210","D5537A64","","","","G","DENEB","C","ANTRA","5400","Po","K7 III","F0 D","","DMSRHMR","Dd","124","","","","","",""
"Malory","2309","C3207746","S","","","G","DENEB","C","ANTRA","5600","De Na Po","K8 V","K8 D","","CSTDHME","Dd","223","","","","","",""
"Tchlen","2403","B696266A","N","","","","DENEB","C","ANTRA","7000","Lo Ni","M5 V","","","BMEWMMH","Cs","610","","","","","",""
"Gagaridir","2405","B220310A","N","","","G","DENEB","C","ANTRA","7000","De Lo Ni Po","M1 V","K2 V","","BSTDMNH","Dd","201","","","","","",""
"Insi Kar","2406","B211454B","","","","G","DENEB","C","ANTRA","6100","Ic Ni","K4 V","","","BSVDMMH","Dd","624","","","","","",""
"Syrenacia","2407","C6694649","","","","G","DENEB","C","ANTRA","6900","Ni","A4 V","M6 V","","CMSWMMH","Dd","503","","","","","",""
"Haggard","2409","C7772246","S","","","G","DENEB","C","ANTRA","7600","Lo Ni","F1 V","M9 V","","CMDWMME","Dd","613","","","","","",""
"Tubb","2502","C89A7999","","","","G","DENEB","D","MILLION","5900","Wa","M7 V","M0 D","","CLEAHEH","Na","701","","","","","",""
"Moskene","2506","E200101B","","","","G","DENEB","D","MILLION","11100","Lo Ni Va","G7 V","F5 V","","ESVDLLH","Dd","603","","","","","",""
"Unekh","2603","C20088B7","","","","G","DENEB","D","MILLION","6700","Na Va","M1 V","","","CSVDHEA","Vu","502","","","","","",""
"Fosfog","2702","A57559C8","","","","G","DENEB","D","MILLION","3800","Ag Ni","G5 IV","M3 VI","","AMDWMEA","Vu","114","","","","","",""
"Talon","2704","C343976B","C","","","G","DENEB","D","MILLION","3100","Hi In Po","K4 V","","","CSSRHMH","Vu","224","","","","","",""
"495-524","2802","D7853004","","An","","G","DENEB","D","MILLION","8400","Lo Ni","F3 V","M6 D","","DMDWMNR","Vu","422","","","","","",""
"Akipp","2804","C4426B79","","","","G","DENEB","D","MILLION","5900","Ni Po","F8 V","","","CSSRHMH","Vu","522","","","","","",""
"Gabrael","2807","A473646E","","","","G","DENEB","D","MILLION","5400","Ni","K4 V","","","ASDRHMH","Dd","424","","","","","",""
"Tensas","2810","C5565506","","","","G","DENEB","D","MILLION","5600","Ag Ni","K8 III","","","CMSWMNE","Dd","504","","","","","",""
"Metare","2903","A32465AE","","","","G","DENEB","D","MILLION","5400","Ni","M2 V","M3 D","","ASTWHEH","Vu","801","","","","","",""
"Fel","2904","A7A7898A","","","","G","DENEB","D","MILLION","5000","Fl","M3 V","","","AMEWHHH","Vu","622","","","","","",""
"Ikhaba","2905","C6755128","","","A","G","DENEB","D","MILLION","5800","Ag Ni","M5 III","","","CMDWMMA","Dd","933","","","","","",""
"Nurara","2906","C5A5422B","S","","","G","DENEB","D","MILLION","8100","Fl Ni","M0 V","","","CMEWMMH","Dd","604","","","","","",""
"Hammand","2907","E7361324","","","A","","DENEB","D","MILLION","9400","Lo Ni","M9 V","M4 D","","EMTWLMR","Dd","120","","","","","",""
"Wyn","2908","C5464445","","","","G","DENEB","D","MILLION","6500","Ni","M2 V","","","CMSWMME","Dd","701","","","","","",""
"Crozat","2910","C4104247","","","","G","DENEB","D","MILLION","6700","Ni","M4 V","M6 V","","CSVDMMA","Dd","404","","","","","",""
"Oluk Dzas","3004","B3635217","","","","G","DENEB","D","MILLION","5700","Ni","M8 VI","","","BSSRMLA","Vu","814","","","","","",""
"Arleshanu","3005","A262333E","N","Cp","","","DENEB","D","MILLION","6400","Lo Ni","F4 IV","","","ASSRMMH","Dd","420","","","","","",""
"Taprobane","3008","B8A8787C","N","","A","","DENEB","D","MILLION","6200","Fl","M2 V","","","BLEWHMH","Dd","720","","","","","",""
"Aerfor","3104","A584520D","","RsD","","G","DENEB","D","MILLION","4300","Ag Ni","M7 V","","","AMDWMNH","Vf","534","","","","","",""
"Olokono","3110","E6A52115","","","","G","DENEB","D","MILLION","10500","Fl Lo Ni","M0 V","","","EMEWMLE","Vf","801","","","","","",""
"Goukhsar","3201","C5632245","","","","","DENEB","D","MILLION","7500","Lo Ni","A6 V","","","CMSRMME","Vf","310","","","","","",""
"Saarinen","113","B5662128","","Rs","","G","DENEB","E","SABINE","6800","Lo Ni","M6 V","K5 D","","BMSWMMA","Dd","513","","","","","",""
"Suyfoto","211","D95488A7","S","","","G","DENEB","E","SABINE","6700","","K8 V","","","DLSWHEA","Dd","304","","","","","",""
"Musayid","214","E5448AE5","","","","G","DENEB","E","SABINE","7500","","K5 V","","","EMSWHEE","Dd","514","","","","","",""
"Umlikam","217","DAA63005","","","","G","DENEB","E","SABINE","9500","Fl Lo Ni","M1 V","G7 D","","DLEWMNE","Dd","401","","","","","",""
"Vanzeti","218","C52A531C","S","","","G","DENEB","E","SABINE","7200","Ni Wa","M3 V","M7 V","","CMTAMLH","Dd","401","","","","","",""
"Fennec","311","C5568338","S","","","","DENEB","E","SABINE","5800","","M7 V","","","CMSWHMA","Dd","520","","","","","",""
"Magash","316","A400976F","","Cp","","G","DENEB","E","SABINE","3500","Hi In Na Va","F8 V","K7 III","","ASVDHMH","Dd","824","","","","","",""
"Cabrini","319","C3655106","S","","","G","DENEB","E","SABINE","5600","Ag Ni","M9 V","","","CSSWMNE","Dd","123","","","","","",""
"Dhapura","412","E5797587","","","","G","DENEB","E","SABINE","7700","","F4 V","","","EMDWHHA","Dd","512","","","","","",""
"Pharos","415","B5934778","","","","G","DENEB","E","SABINE","5800","Ni","M2 V","","","BMERMMA","Dd","612","","","","","",""
"Sul'tang","417","B552864A","","","","G","DENEB","E","SABINE","4000","Po","G4 V","M3 D","","BMSRHMH","Dd","415","","","","","",""
"Ara Pacis","419","A337678B","","","","G","DENEB","E","SABINE","5100","Ni","M3 V","","","ASTWHHH","Dd","601","","","","","",""
"Marnie's World","514","AA9A324B","N","","","","DENEB","E","SABINE","6100","Lo Ni Wa","F3 D","","","ALEAMMH","Dd","510","","","","","",""
"Endimyon","516","X5554341","","","R","G","DENEB","E","SABINE","10100","Ni","F3 III","M5 D","","XMSWMMI","Dd","523","","","","","",""
"Seleen","517","A310467E","","","","G","DENEB","E","SABINE","5400","Ni","M6 V","","","ASVDMMH","Dd","704","","","","","",""
"Thingen","518","B467998D","N","","","G","DENEB","E","SABINE","4300","Hi","M9 V","","","BSSWHHH","Dd","305","","","","","",""
"Anomaly Five","615","X1000005","","","R","G","DENEB","E","SABINE","13500","Ba Lo Ni Va","M9 V","","","XSVDLNE","Dd","623","","","","","",""
"Sevas Topol","619","D9C32567","","","","G","DENEB","E","SABINE","9700","Fl Lo Ni","M2 V","","","DLERMMA","Dd","923","","","","","",""
"Amirante","713","D2108994","S","","","G","DENEB","E","SABINE","6400","Na","K5 VI","","","DSVDHER","Dd","602","","","","","",""
"Bahadur","715","A326230E","N","","","G","DENEB","E","SABINE","6400","Lo Ni","M5 V","","","ASTWMNH","Dd","102","","","","","",""
"Rhinom","717","B7768AB8","N","","","G","DENEB","E","SABINE","4800","","M9 V","","","BMDWHEA","Dd","601","","","","","",""
"Cicus","812","E3103305","","","","G","DENEB","E","SABINE","9500","Lo Ni","M4 VI","G0 V","K0 V","ESVDMNE","Dd","621","","","","","",""
"Makeni","813","E1005428","","","","G","DENEB","E","SABINE","9800","Ni Va","M1 V","","","ESVDMMA","Dd","302","","","","","",""
"Amritsar","814","C8975358","","","","G","DENEB","E","SABINE","5800","Ag Ni","F3 V","","","CLEWMMA","Dd","413","","","","","",""
"Pangumo","815","C35259BB","","","","G","DENEB","E","SABINE","6100","Ni Po","K0 V","M8 V","","CSSRMEH","Dd","301","","","","","",""
"Coshecawat","816","X1006411","","","R","G","DENEB","E","SABINE","11100","Na Ni Va","M6 V","F6 D","","XSVDHLI","Dd","313","","","","","",""
"Jehun","819","E66766A7","","","","G","DENEB","E","SABINE","8700","Ag Ni Ri","K2 V","M4 V","","EMSWHEA","Dd","901","","","","","",""
"Kayu","912","E9B75A88","","","","G","DENEB","F","INAR","9800","Fl Ni","M2 V","","","ELEWMHA","Dd","412","","","","","",""
"Amarkimi","913","B446410A","W","","","G","DENEB","F","INAR","6000","Ni","K8 V","","","BSSWMNH","Dd","902","","","","","",""
"Otomisl","914","B5A5577C","S","","","G","DENEB","F","INAR","7200","Fl Ni","M9 V","G6 V","","BMEWMMH","Dd","403","","","","","",""
"Skold","915","B764323A","","C2","","G","DENEB","F","INAR","7000","Lo Ni","K0 V","","","BMSWMMH","Dd","124","","","","","",""
"Kubishush","917","B8B69AAD","","","","G","DENEB","F","INAR","5300","Fl Hi","M8 V","M3 VI","","BLEWHEH","Dd","901","","","","","",""
"Jessok","1011","C623510B","","","","","DENEB","F","INAR","6100","Ni Po","G8 V","G0 V","","CMTRMNH","Dd","920","","","","","",""
"Mowbe","1014","C748551B","","","","G","DENEB","F","INAR","6100","Ag Ni","M2 V","K9 V","","CMSWMLH","Dd","601","","","","","",""
"Liiri","1016","B542998D","","","","G","DENEB","F","INAR","2300","Hi In Po","M4 V","K8 D","","BMSRHHH","Dd","401","","","","","",""
"Hessel","1018","B658100D","N","","","G","DENEB","F","INAR","7300","Lo Ni","M4 V","M2 D","","BMSWLNH","Dd","801","","","","","",""
"Zeen","1111","D6536436","S","D5","","G","DENEB","F","INAR","6600","Ni Po","K6 VI","","","DMSRHME","Dd","301","","","","","",""
"Pecana","1115","B347014A","A","","","G","DENEB","F","INAR","7000","Lo Ni","M4 III","","","BSSWLMH","Dd","722","","","","","",""
"Abydos","1116","D3356668","S","","","","DENEB","F","INAR","7800","Ni","M5 V","","","DSTWHMA","Dd","410","","","","","",""
"Karabeth","1118","E6634687","","","","G","DENEB","F","INAR","8700","Ni","K9 III","M3 V","","EMSRMHA","Dd","102","","","","","",""
"Prigojin","1212","E1004408","","","","G","DENEB","F","INAR","9800","Ni Va","K4 D","","","ESVDMNA","Dd","903","","","","","",""
"Inar","1213","A310736E","N","Cp","","G","DENEB","F","INAR","4400","Na","M7 V","","","ASVDHMH","Dd","903","","","","","",""
"Morninglori","1216","B5445857","","","","G","DENEB","F","INAR","4700","Ag Ni","M2 V","","","BMSWMMA","Dd","113","","","","","",""
"Clarissa","1217","C536422A","S","","","G","DENEB","F","INAR","7000","Ni","M4 V","","","CMTWMMH","Dd","514","","","","","",""
"Gaagir","1218","C86A358A","S","","","G","DENEB","F","INAR","8000","Lo Ni Wa","K6 V","K9 V","","CLSAMHH","Dd","601","","","","","",""
"Minde's Star","1220","D235452B","S","","","G","DENEB","F","INAR","8100","Ni","M7 V","","","DSTWMMH","Dd","303","","","","","",""
"Quanah","1311","C4674746","","","","G","DENEB","F","INAR","6600","Ni","M4 VI","","","CSSWMME","Dd","123","","","","","",""
"Rayel","1313","B6936328","","","","","DENEB","F","INAR","5800","Ni","G3 V","","","BMERHMA","Dd","410","","","","","",""
"Modika","1314","B4504138","S","","","G","DENEB","F","INAR","5800","De Ni Po","F5 V","M5 D","","BSSDMMA","Dd","503","","","","","",""
"Cipren","1318","C5533107","","","","G","DENEB","F","INAR","6700","Lo Ni Po","F5 V","","","CMSRMNA","Dd","821","","","","","",""
"Thane","1319","D5854308","S","","","G","DENEB","F","INAR","7800","Ni","M3 V","","","DMDWMNA","Dd","421","","","","","",""
"Tallon","1415","C78A6689","S","","","G","DENEB","F","INAR","7900","Ni Ri Wa","M6 V","M9 D","","CMDAHHH","Dd","701","","","","","",""
"Starn","1417","B000996F","S","Rs","","G","DENEB","F","INAR","3500","As Hi In Na Va","K0 V","","","BAVDHMH","Dd","722","","","","","",""
"Montcolm","1419","D6752128","","","","G","DENEB","F","INAR","8800","Lo Ni","K4 V","","","DMDWMMA","Dd","122","","","","","",""
"Quebraco","1420","E78A5684","","","","G","DENEB","F","INAR","8400","Ni Wa","M1 III","F3 V","","EMDAMHR","Dd","824","","","","","",""
"Trevith","1518","E6733474","","","","G","DENEB","F","INAR","9400","Lo Ni","G0 V","M0 D","","EMDRMMR","Dd","422","","","","","",""
"Petrach","1712","B5548538","A","","","","DENEB","G","DUNMAG","4800","","M6 V","","","BMSWHMA","Dd","210","","","","","",""
"Stoyben","1713","D21356A8","S","","","G","DENEB","G","DUNMAG","7800","Ic Ni","M3 V","","","DSVRMEA","Dd","211","","","","","",""
"Andalia","1714","C87A4476","","","A","G","DENEB","G","DUNMAG","6600","Ni Wa","M7 V","G8 D","","CLDAMME","Dd","903","","","","","",""
"Reims","1716","C6247796","","","","G","DENEB","G","DUNMAG","5600","","M9 V","M0 V","","CMTWHEE","Dd","601","","","","","",""
"Kennebec","1717","E9785526","","","","G","DENEB","G","DUNMAG","7600","Ag Ni","F7 V","","","ELDWMME","Dd","523","","","","","",""
"Polizzi","1719","B402532E","","","","G","DENEB","G","DUNMAG","7400","Ic Ni Va","K9 V","","","BSVRMMH","Dd","823","","","","","",""
"Karst","1814","B87679B6","","C2","","G","DENEB","G","DUNMAG","3600","Ag","F8 III","","","BLDWHEE","Dd","133","","","","","",""
"Donu-na","1917","C460850B","","","","G","DENEB","G","DUNMAG","8100","De Ri","F2 V","M8 D","","CSSDHNH","Dd","525","","","","","",""
"Shinorasus","1918","A410200E","","","","G","DENEB","G","DUNMAG","6400","Lo Ni","F8 V","M9 D","","ASVDMNH","Dd","203","","","","","",""
"Orenberg","2011","B130678E","","","","G","DENEB","G","DUNMAG","6400","De Na Ni Po","M5 V","G4 D","","BSTDHHH","Dd","201","","","","","",""
"Twinian","2013","C40447B7","S","","","G","DENEB","G","DUNMAG","7700","Ic Ni Va","M5 V","","","CSVWMEA","Dd","702","","","","","",""
"Zinuun","2014","E2367BA5","","","","G","DENEB","G","DUNMAG","7500","","M8 V","","","ESTWHEE","Dd","911","","","","","",""
"Ugrik","2016","E3000007","","","","G","DENEB","G","DUNMAG","11700","Ba Lo Ni Va","F7 V","","","ESVDLNA","Dd","321","","","","","",""
"Ruwenzorl","2017","E7490247","","","","G","DENEB","G","DUNMAG","9700","Lo Ni","M8 V","","","EMSWLMA","Dd","303","","","","","",""
"Namidshur","2019","B2106A9D","S","","","G","DENEB","G","DUNMAG","6300","Na Ni","G9 V","","","BSVDHEH","Dd","215","","","","","",""
"Diiski","2111","C66A2008","","","","G","DENEB","G","DUNMAG","7800","Lo Ni Wa","K7 V","","","CMSAMNA","Dd","812","","","","","",""
"Kadidun","2114","D5A20039","S","","","","DENEB","G","DUNMAG","9900","Fl Lo Ni","K1 IV","K0 V","","DMERLMH","Dd","220","","","","","",""
"Piram","2116","E3117774","","","","G","DENEB","G","DUNMAG","7400","Ic Na","G2 V","","","ESVDHMR","Dd","611","","","","","",""
"Cuna","2117","C62677C7","","","","G","DENEB","G","DUNMAG","5700","","M7 V","","","CMTWHEA","Dd","324","","","","","",""
"Teatro","2120","C8A78CA7","","","","G","DENEB","G","DUNMAG","6700","Fl","F8 V","M7 V","","CLEWHEA","Dd","903","","","","","",""
"Imlaar","2212","D6775516","S","","","G","DENEB","G","DUNMAG","6600","Ag Ni","M5 II","K5 VI","","DMDWMLE","Dd","423","","","","","",""
"Torm","2220","C4564459","S","","","G","DENEB","G","DUNMAG","6900","Ni","K5 V","","","CSSWMMH","Dd","134","","","","","",""
"Giikusu","2316","E647ABCB","","","","G","DENEB","G","DUNMAG","6100","Hi In","M8 V","","","EMSWHEH","Dd","105","","","","","",""
"Lan-chou","2317","D8557887","S","","","","DENEB","G","DUNMAG","5700","Ag","M5 V","K8 VI","","DLSWHHA","Dd","120","","","","","",""
"Nibel","2411","E6883034","","","","G","DENEB","G","DUNMAG","9400","Lo Ni","M1 V","K5 VI","","EMDWMMR","Dd","701","","","","","",""
"Pagamin","2412","C3711148","","","","G","DENEB","G","DUNMAG","7800","Lo Ni","M7 V","","","CSDDLMA","Dd","502","","","","","",""
"Dunmag","2413","A427138C","N","Cp","","G","DENEB","G","DUNMAG","6200","Lo Ni","M3 V","M1 D","M1 D","ASTWLHH","Dd","201","","","","","",""
"Jurburk","2414","B454033B","N","","","G","DENEB","G","DUNMAG","7100","Lo Ni","M6 V","G9 V","K9 V","BSSWLMH","Dd","802","","","","","",""
"Niven","2512","E9C32376","","","A","G","DENEB","H","ATSAH","10600","Fl Lo Ni","F3 II","M3 V","","ELERMME","Dd","534","","","","","",""
"Kasmar","2515","E6317549","","","","G","DENEB","H","ATSAH","6900","Na Po","M3 V","M5 D","","EMTDHMH","Dd","101","","","","","",""
"Erita","2519","E99A5758","","","","G","DENEB","H","ATSAH","8800","Ni Wa","G8 V","K9 V","","ELEAMMA","Dd","113","","","","","",""
"Kiirindor","2520","B446666B","","","A","","DENEB","H","ATSAH","5100","Ag Ni","A0 V","K9 D","","BSSWHMH","Dd","310","","","","","",""
"Berora","2615","B100672D","","","","G","DENEB","H","ATSAH","7300","Na Ni Va","M8 V","G7 V","","BSVDHMH","Na","822","","","","","",""
"Wal-ta-ka","2713","C360431A","","","","G","DENEB","H","ATSAH","8000","De Ni","M5 V","","","CSSDMLH","Na","601","","","","","",""
"Dophkah","2715","B6477778","N","","","G","DENEB","H","ATSAH","3800","Ag","M9 V","","","BMSWHMA","Cs","324","","","","","",""
"Errogel","2716","B150554A","N","","","G","DENEB","H","ATSAH","6000","De Ni Po","G9 V","","","BSSDMMH","Cs","724","","","","","",""
"Segan","2717","B3508ABC","N","","","G","DENEB","H","ATSAH","5200","De Po","F4 V","K4 V","","BSSDHEH","Cs","504","","","","","",""
"Og Bere'","2812","B4640028","","","","G","DENEB","H","ATSAH","6800","Lo Ni","G7 V","","","BSSWLMA","Na","223","","","","","",""
"Doho","2813","A696444C","","","","G","DENEB","H","ATSAH","5200","Ni","F8 V","K6 D","","AMEWMMH","Na","621","","","","","",""
"Gampin","2820","D6686447","S","","","G","DENEB","H","ATSAH","7700","Ag Ni Ri","M7 V","G2 IV","","DMSWHMA","Dd","533","","","","","",""
"Atsah","2913","A656750D","W","","","G","DENEB","H","ATSAH","3300","Ag","K4 V","","","AMSWHNH","Cs","723","","","","","",""
"Kishuda","2918","A8560405","","","","G","DENEB","H","ATSAH","5500","Lo Ni","M8 V","M8 D","","ALSWLNE","Na","201","","","","","",""
"Corfinium","3011","B4436648","","","","G","DENEB","H","ATSAH","4800","Ni Po","M6 V","","","BSSRHMA","Dd","522","","","","","",""
"Ivora","3013","E9995335","","","","G","DENEB","H","ATSAH","8500","Ni","M5 V","","","ELEWMME","Na","401","","","","","",""
"Atadi","3015","B2109C7F","","","","G","DENEB","H","ATSAH","3500","Hi In Na","M1 V","M1 V","","BSVDHMH","Cs","201","","","","","",""
"Zerderu","3016","B441685B","","","","G","DENEB","H","ATSAH","5100","Ni Po","M1 V","M1 V","","BSSDHMH","Na","401","","","","","",""
"Lamar","3111","C4104107","S","","","G","DENEB","H","ATSAH","6700","Ni","M1 V","","","CSVDMNA","Vf","223","","","","","",""
"Berth","3112","B547345B","A","","","G","DENEB","H","ATSAH","7100","Lo Ni","K5 V","M5 V","","BMSWMMH","Vf","901","","","","","",""
"Prevsla","3113","D2433008","","","","","DENEB","H","ATSAH","7800","Lo Ni Po","M5 V","M4 V","","DSSRMNA","Vf","410","","","","","",""
"Arabah","3115","C8772235","S","","","","DENEB","H","ATSAH","7500","Lo Ni","F8 IV","","","CLDWMME","Vf","820","","","","","",""
"Sherad","3116","A000447F","N","","","G","DENEB","H","ATSAH","5500","As Ni Va","M6 V","","","AAVDMMH","Vf","913","","","","","",""
"Salaam","3213","D5763004","S","","","G","DENEB","H","ATSAH","8400","Lo Ni","M4 III","K5 D","","DMDWMNR","Vf","222","","","","","",""
"Rena","123","D5962117","S","","","G","DENEB","I","STAR LANE","8700","Lo Ni","M4 V","","","DMEWMLA","Dd","403","","","","","",""
"Guilstan","124","CAB23587","S","","","","DENEB","I","STAR LANE","8700","Fl Lo Ni","K6 II","","","CLERMHA","Dd","820","","","","","",""
"Chaosheo","130","E87A7881","","","A","G","DENEB","I","STAR LANE","7100","Wa","K8 V","","","ELDAHHI","Dd","625","","","","","",""
"Mater Nova","221","B5754499","","","","G","DENEB","I","STAR LANE","5900","Ni","M8 V","K0 D","","BMDWMEH","Dd","314","","","","","",""
"Breslow","222","X4405101","","","R","G","DENEB","I","STAR LANE","10100","De Ni Po","K8 VI","M1 D","","XSSDMNI","Dd","902","","","","","",""
"Daumier","223","B88A452E","","","","","DENEB","I","STAR LANE","6400","Ni Wa","K7 V","M9 V","","BLDAMMH","Dd","510","","","","","",""
"Adapam","224","E7964428","","","","G","DENEB","I","STAR LANE","8800","Ni","K8 V","","","EMEWMMA","Dd","822","","","","","",""
"Wroclaw","226","C4667BF7","","","","G","DENEB","I","STAR LANE","4700","Ag","M8 V","K2 VI","","CSSWHEA","Dd","823","","","","","",""
"Rimkuku","228","D9A88727","S","","","G","DENEB","I","STAR LANE","7700","Fl","M3 V","G1 V","","DLEWHMA","Dd","324","","","","","",""
"Azizlyah","229","C86A475B","","","","G","DENEB","I","STAR LANE","7100","Ni Wa","M3 V","","","CLSAMMH","Dd","624","","","","","",""
"Barbary","327","C5717CF4","S","","","G","DENEB","I","STAR LANE","5400","","F5 V","K3 D","","CMDDHER","Dd","813","","","","","",""
"Dunstan","328","C6492208","","","","G","DENEB","I","STAR LANE","7800","Lo Ni","G4 V","","","CMSWMNA","Dd","523","","","","","",""
